Date,Close/Last,Volume,Open,High,Low,newclose,newhigh,newopen
2/8/2013,$16.9636,632573227,$16.9286,$17.1004,$16.7232,16.9636, 17.1004, 16.9286
2/7/2013,$16.7221,702510759,$16.5446,$16.7857,$16.2186,16.7221, 16.7857, 16.5446
2/6/2013,$16.3339,592015243,$16.3025,$16.6607,$16.1636,16.3339, 16.6607, 16.3025
2/5/2013,$16.3516,571835931,$15.8589,$16.4193,$15.7936,16.3516, 16.4193, 15.8589
2/4/2013,$15.797,476178730,$16.2111,$16.2836,$15.7857,15.797, 16.2836, 16.2111
2/1/2013,$16.2007,538817504,$16.3968,$16.41,$16.0125,16.2007, 16.41, 16.3968
01/31/2013,$16.2675,317781673,$16.3207,$16.4029,$16.2493,16.2675, 16.4029, 16.3207
01/30/2013,$16.3154,416563113,$16.3214,$16.5214,$16.2321,16.3154, 16.5214, 16.3214
01/29/2013,$16.3668,569947332,$16.375,$16.4357,$16.1471,16.3668, 16.4357, 16.375
01/28/2013,$16.0654,783086887,$15.6366,$16.1861,$15.5664,16.0654, 16.1861, 15.6366
01/25/2013,$15.71,1206468837,$16.1318,$16.2939,$15.5357,15.71, 16.2939, 16.1318
01/24/2013,$16.0893,1457835377,$16.4286,$16.6332,$16.0804,16.0893, 16.6332, 16.4286
01/23/2013,$18.3573,764359934,$18.1718,$18.3925,$18.0275,18.3573, 18.3925, 18.1718
01/22/2013,$18.0275,458983376,$18.02,$18.1386,$17.7368,18.0275, 18.1386, 18.02
01/18/2013,$17.8571,467949533,$17.8041,$17.9364,$17.7286,17.8571, 17.9364, 17.8041
01/17/2013,$17.9529,451601459,$18.2254,$18.2411,$17.9297,17.9529, 18.2411, 18.2254
01/16/2013,$18.0747,689575324,$17.6657,$18.1943,$17.5893,18.0747, 18.1943, 17.6657
01/15/2013,$17.3543,871209852,$17.7964,$17.8211,$17.2636,17.3543, 17.8211, 17.7964
01/14/2013,$17.9197,732084067,$17.9529,$18.125,$17.8039,17.9197, 18.125, 17.9529
1/11/2013,$18.5822,350276220,$18.6072,$18.7614,$18.5364,18.5822, 18.7614, 18.6072
1/10/2013,$18.6968,599946240,$18.8768,$18.8829,$18.4114,18.6968, 18.8829, 18.8768
1/9/2013,$18.4679,406994677,$18.6607,$18.7502,$18.4282,18.4679, 18.7502, 18.6607
1/8/2013,$18.7611,457805137,$18.9004,$18.9961,$18.6161,18.7611, 18.9961, 18.9004
1/7/2013,$18.7107,483353167,$18.6429,$18.9036,$18.4,18.7107, 18.9036, 18.6429
1/4/2013,$18.8214,593496723,$19.1773,$19.2368,$18.7796,18.8214, 19.2368, 19.1773
1/3/2013,$19.3606,352216619,$19.5672,$19.6311,$19.3214,19.3606, 19.6311, 19.5672
1/2/2013,$19.6082,559626536,$19.7793,$19.8214,$19.3439,19.6082, 19.8214, 19.7793
12/31/2012,$19.0062,658078137,$18.2332,$19.1214,$18.1786,19.0062, 19.1214, 18.2332
12/28/2012,$18.1996,352469459,$18.2247,$18.3743,$18.1472,18.1996, 18.3743, 18.2247
12/27/2012,$18.395,454300938,$18.3407,$18.4375,$18.0236,18.395, 18.4375, 18.3407
12/26/2012,$18.3214,301899799,$18.5357,$18.5522,$18.2543,18.3214, 18.5522, 18.5357
12/24/2012,$18.5774,175747838,$18.5839,$18.7232,$18.5254,18.5774, 18.7232, 18.5839
12/21/2012,$18.5475,594438362,$18.3025,$18.5597,$18.2229,18.5475, 18.5597, 18.3025
12/20/2012,$18.6332,480615608,$18.9286,$18.9357,$18.5314,18.6332, 18.9357, 18.9286
12/19/2012,$18.7968,448243981,$18.9811,$19.0607,$18.7679,18.7968, 19.0607, 18.9811
